date,views,title,lang
202101,452595,Donald Trump,de
202102,98346,Donald Trump,de
202103,61510,Donald Trump,de
202104,57128,Donald Trump,de
202105,51910,Donald Trump,de
202106,53224,Donald Trump,de
202107,38407,Donald Trump,de
202108,36171,Donald Trump,de
202109,37426,Donald Trump,de
202110,39602,Donald Trump,de
202111,42784,Donald Trump,de
202112,51184,Donald Trump,de
202201,60806,Donald Trump,de
202202,55848,Donald Trump,de
202203,50710,Donald Trump,de
202204,37255,Donald Trump,de
202205,36206,Donald Trump,de
202206,40131,Donald Trump,de
202207,114279,Donald Trump,de
202208,83367,Donald Trump,de
202209,55784,Donald Trump,de
202210,54093,Donald Trump,de
202211,135026,Donald Trump,de
202212,46319,Donald Trump,de
202301,51302,Donald Trump,de
202302,47455,Donald Trump,de
202303,74101,Donald Trump,de
202304,97955,Donald Trump,de
202305,58863,Donald Trump,de
202306,61363,Donald Trump,de
202307,34368,Donald Trump,de
202308,91340,Donald Trump,de
202309,41360,Donald Trump,de
202310,58065,Donald Trump,de
202311,63863,Donald Trump,de
202312,1400,Donald Trump,de
