date,interest,case_id,sector
2021-02-01,87,F1,Finance
2021-03-01,86,F1,Finance
2021-04-01,77,F1,Finance
2021-05-01,77,F1,Finance
2021-06-01,67,F1,Finance
2021-07-01,67,F1,Finance
2021-08-01,66,F1,Finance
2021-09-01,64,F1,Finance
2021-10-01,76,F1,Finance
2021-11-01,86,F1,Finance
2021-12-01,80,F1,Finance
2022-01-01,82,F1,Finance
2022-02-01,73,F1,Finance
2022-03-01,84,F1,Finance
2022-04-01,86,F1,Finance
2022-05-01,82,F1,Finance
2022-06-01,80,F1,Finance
2022-07-01,69,F1,Finance
2022-08-01,71,F1,Finance
2022-09-01,64,F1,Finance
2022-10-01,63,F1,Finance
2022-11-01,60,F1,Finance
2022-12-01,69,F1,Finance
2023-01-01,85,F1,Finance
2023-02-01,82,F1,Finance
2023-03-01,75,F1,Finance
2023-04-01,73,F1,Finance
2023-05-01,69,F1,Finance
2023-06-01,76,F1,Finance
2023-07-01,77,F1,Finance
2023-08-01,73,F1,Finance
2023-09-01,76,F1,Finance
2023-10-01,72,F1,Finance
2023-11-01,68,F1,Finance
2023-12-01,73,F1,Finance
2024-01-01,75,F1,Finance
2021-02-01,100,F2,Finance
2021-03-01,71,F2,Finance
2021-04-01,75,F2,Finance
2021-05-01,98,F2,Finance
2021-06-01,69,F2,Finance
2021-07-01,46,F2,Finance
2021-08-01,48,F2,Finance
2021-09-01,44,F2,Finance
2021-10-01,55,F2,Finance
2021-11-01,51,F2,Finance
2021-12-01,51,F2,Finance
2022-01-01,63,F2,Finance
2022-02-01,53,F2,Finance
2022-03-01,44,F2,Finance
2022-04-01,35,F2,Finance
2022-05-01,55,F2,Finance
2022-06-01,61,F2,Finance
2022-07-01,44,F2,Finance
2022-08-01,32,F2,Finance
2022-09-01,32,F2,Finance
2022-10-01,26,F2,Finance
2022-11-01,39,F2,Finance
2022-12-01,27,F2,Finance
2023-01-01,31,F2,Finance
2023-02-01,29,F2,Finance
2023-03-01,33,F2,Finance
2023-04-01,29,F2,Finance
2023-05-01,27,F2,Finance
2023-06-01,27,F2,Finance
2023-07-01,28,F2,Finance
2023-08-01,25,F2,Finance
2023-09-01,23,F2,Finance
2023-10-01,29,F2,Finance
2023-11-01,30,F2,Finance
2023-12-01,35,F2,Finance
2024-01-01,42,F2,Finance
2021-02-01,72,F3,Finance
2021-03-01,44,F3,Finance
2021-04-01,28,F3,Finance
2021-05-01,23,F3,Finance
2021-06-01,25,F3,Finance
2021-07-01,22,F3,Finance
2021-08-01,20,F3,Finance
2021-09-01,19,F3,Finance
2021-10-01,22,F3,Finance
2021-11-01,32,F3,Finance
2021-12-01,34,F3,Finance
2022-01-01,21,F3,Finance
2022-02-01,18,F3,Finance
2022-03-01,17,F3,Finance
2022-04-01,17,F3,Finance
2022-05-01,13,F3,Finance
2022-06-01,15,F3,Finance
2022-07-01,16,F3,Finance
2022-08-01,14,F3,Finance
2022-09-01,15,F3,Finance
2022-10-01,15,F3,Finance
2022-11-01,22,F3,Finance
2022-12-01,23,F3,Finance
2023-01-01,14,F3,Finance
2023-02-01,15,F3,Finance
2023-03-01,12,F3,Finance
2023-04-01,11,F3,Finance
2023-05-01,12,F3,Finance
2023-06-01,12,F3,Finance
2023-07-01,12,F3,Finance
2023-08-01,11,F3,Finance
2023-09-01,12,F3,Finance
2023-10-01,11,F3,Finance
2023-11-01,16,F3,Finance
2023-12-01,20,F3,Finance
2024-01-01,11,F3,Finance
2021-02-01,3,F4,Finance
2021-03-01,3,F4,Finance
2021-04-01,4,F4,Finance
2021-05-01,5,F4,Finance
2021-06-01,4,F4,Finance
2021-07-01,4,F4,Finance
2021-08-01,5,F4,Finance
2021-09-01,8,F4,Finance
2021-10-01,9,F4,Finance
2021-11-01,10,F4,Finance
2021-12-01,7,F4,Finance
2022-01-01,10,F4,Finance
2022-02-01,10,F4,Finance
2022-03-01,8,F4,Finance
2022-04-01,9,F4,Finance
2022-05-01,10,F4,Finance
2022-06-01,8,F4,Finance
2022-07-01,7,F4,Finance
2022-08-01,7,F4,Finance
2022-09-01,6,F4,Finance
2022-10-01,6,F4,Finance
2022-11-01,100,F4,Finance
2022-12-01,32,F4,Finance
2023-01-01,12,F4,Finance
2023-02-01,6,F4,Finance
2023-03-01,6,F4,Finance
2023-04-01,5,F4,Finance
2023-05-01,4,F4,Finance
2023-06-01,4,F4,Finance
2023-07-01,4,F4,Finance
2023-08-01,4,F4,Finance
2023-09-01,5,F4,Finance
2023-10-01,8,F4,Finance
2023-11-01,9,F4,Finance
2023-12-01,4,F4,Finance
2024-01-01,4,F4,Finance
2021-02-01,70,F5,Finance
2021-03-01,69,F5,Finance
2021-04-01,69,F5,Finance
2021-05-01,70,F5,Finance
2021-06-01,69,F5,Finance
2021-07-01,70,F5,Finance
2021-08-01,75,F5,Finance
2021-09-01,91,F5,Finance
2021-10-01,89,F5,Finance
2021-11-01,90,F5,Finance
2021-12-01,88,F5,Finance
2022-01-01,86,F5,Finance
2022-02-01,72,F5,Finance
2022-03-01,76,F5,Finance
2022-04-01,71,F5,Finance
